City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Salinopolis,BR,76.8,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
230,Kavieng,PG,84.51,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
231,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
235,Shenzhen,CN,82.27,moderate rain,22.5455,114.0683,Grand Skylight
239,Kulhudhuffushi,MV,84.69,broken clouds,6.6221,73.07,Haajy Guest House 1
240,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
244,Quelimane,MZ,75.92,clear sky,-17.8786,36.8883,Hotel Flamingo
247,Kiunga,PG,86.13,light rain,-6.1219,141.2906,Airport Lodge Kiunga
248,Aksu,CN,83.52,clear sky,41.1231,80.2644,Pudong Holiday Hotel
251,Babu,CN,77.79,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
258,Sungaipenuh,ID,80.92,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
261,Baherden,TM,76.55,overcast clouds,38.4362,57.4316,
263,Bengkulu,ID,84.97,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
267,Antalaha,MG,80.55,light rain,-14.9003,50.2788,Hotel Vitasoa
274,Cumana,VE,77.34,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
278,Rey Bouba,CM,87.04,overcast clouds,8.6724,14.1786,
279,Umm Lajj,SA,86.77,clear sky,25.0213,37.2685,Moon light Furnished Units
286,The Valley,AI,79.83,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
288,Innisfail,AU,75.2,light rain,-17.5333,146.0333,Moondarra Motel
292,Lazaro Cardenas,MX,75.07,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
293,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
297,Farafangana,MG,76.91,scattered clouds,-22.8167,47.8333,Miarina
