City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Araouane,ML,18.9048,-3.5265,80.31,12,0,16.8,clear sky
80,Hay River,CA,60.8156,-115.7999,31.98,100,100,13.8,light snow
81,San Cristobal,VE,7.7669,-72.225,65.61,99,99,3.11,overcast clouds
82,Zhigansk,RU,66.7697,123.3711,33.28,98,100,9.13,overcast clouds
83,Vardo,NO,70.3705,31.1107,31.98,74,100,24.16,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,56.95,88,10,7.0,clear sky
85,Severo-Kurilsk,RU,50.6789,156.125,47.37,77,99,16.42,overcast clouds
86,Ustye,RU,59.6304,39.736,55.06,71,72,15.32,broken clouds
87,Nenjiang,CN,49.1833,125.2167,66.94,20,0,7.54,clear sky
88,Gonbad-E Qabus,IR,37.25,55.1672,61.75,72,100,3.4,overcast clouds
89,Sakakah,SA,29.9697,40.2064,69.37,27,1,6.51,clear sky
90,Kemin,KG,42.7846,75.6892,76.71,36,17,2.8,few clouds
91,Hovd,MN,48.0056,91.6419,70.14,22,48,18.23,scattered clouds
92,Vaini,TO,-21.2,-175.2,73.56,88,40,5.75,scattered clouds
93,Salisbury,GB,51.0693,-1.7957,54.41,91,100,6.91,overcast clouds
94,Nanortalik,GL,60.1432,-45.2371,37.74,77,100,4.34,overcast clouds
95,Mamurras,AL,41.5775,19.6922,63.84,67,20,2.3,few clouds
96,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,93,100,20.71,overcast clouds
97,Thompson,CA,55.7435,-97.8558,57.36,58,75,5.75,broken clouds
98,Whitehorse,CA,60.7161,-135.0538,41.31,78,75,4.61,broken clouds
99,Nanakuli,US,21.3906,-158.1547,76.98,64,20,5.75,few clouds
100,Marzuq,YE,14.4,46.4667,85.77,15,33,2.8,scattered clouds
101,Luderitz,NA,-26.6481,15.1594,53.11,68,0,14.07,clear sky
102,Oshikango,NA,-17.4,15.8833,61.39,44,1,3.15,clear sky
103,Norman Wells,CA,65.282,-126.8329,39.24,56,75,6.91,broken clouds
104,Cocobeach,GA,1.0002,9.5823,78.37,87,100,3.42,overcast clouds
105,Baykit,RU,61.67,96.37,30.85,78,100,16.35,light snow
106,Neepawa,CA,50.2289,-99.4664,50.4,76,100,13.73,overcast clouds
107,Puerto Ayora,EC,-0.7393,-90.3518,71.22,93,20,8.88,few clouds
108,Talnakh,RU,69.4865,88.3972,18.21,86,18,12.5,few clouds
109,Taltal,CL,-25.4,-70.4833,59.0,82,49,3.42,scattered clouds
110,Caravelas,BR,-17.7125,-39.2481,76.23,72,94,11.43,overcast clouds
111,Qaanaaq,GL,77.484,-69.3632,16.74,75,100,6.15,overcast clouds
112,Faya,SA,18.3851,42.4509,77.11,26,15,6.2,few clouds
113,Clyde River,CA,70.4692,-68.5914,10.63,92,100,4.61,overcast clouds
114,Rocha,UY,-34.4833,-54.3333,54.25,94,15,5.35,few clouds
115,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,68,0,12.66,clear sky
116,Marquette,US,46.5333,-87.6335,43.36,44,53,7.99,broken clouds
117,Bethel,US,41.3712,-73.414,47.01,58,100,3.0,light rain
118,Chuy,UY,-33.6971,-53.4616,54.97,90,4,5.95,clear sky
119,Shintomi,JP,32.0785,131.4723,72.72,69,65,7.18,broken clouds
120,Atasu,KZ,48.6814,71.6433,56.48,23,79,20.98,broken clouds
121,Geilo,NO,60.5333,8.2076,34.39,64,61,5.44,broken clouds
122,Flinders,AU,-34.5833,150.8552,68.18,51,8,4.0,clear sky
123,Nebbi,UG,2.4783,31.0889,75.24,71,100,2.93,light rain
